REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 2.792	 2.520	 16000	nb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 -1.000	 2.087	 16000	wb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 2.494	 2.128	 16000	nb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 -1.000	 1.248	 16000	wb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 2.324	 1.934	 16000	nb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 -1.000	 1.222	 16000	wb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 2.494	 2.128	 16000	nb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 -1.000	 1.248	 16000	wb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 2.324	 1.934	 16000	nb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 -1.000	 1.222	 16000	wb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 2.792	 2.520	 16000	nb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 -1.000	 2.087	 16000	wb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 1.919	 1.570	 16000	nb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 -1.000	 1.232	 16000	wb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 2.192	 1.800	 16000	nb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 -1.000	 1.352	 16000	wb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 2.459	 2.086	 16000	nb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 -1.000	 1.722	 16000	wb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 2.275	 1.882	 16000	nb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 -1.000	 1.517	 16000	wb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 2.546	 2.192	 16000	nb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 -1.000	 1.448	 16000	wb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 2.622	 2.289	 16000	nb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 -1.000	 1.818	 16000	wb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 2.376	 1.991	 16000	nb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 -1.000	 1.350	 16000	wb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 2.546	 2.192	 16000	nb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 -1.000	 1.448	 16000	wb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 4.133	 4.279	 16000	nb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 -1.000	 3.556	 16000	wb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 2.324	 1.934	 16000	nb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 -1.000	 1.222	 16000	wb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 2.622	 2.289	 16000	nb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 -1.000	 1.818	 16000	wb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 2.792	 2.520	 16000	nb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 -1.000	 2.087	 16000	wb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 2.546	 2.192	 16000	nb
signals\temp_pure_signal.wav	 signals\temp_pure_noisy.wav	 -1.000	 1.395	 16000	wb
